model	backbone	ligand	best_affinity_kcal_mol
1ks5_WT_AF3_model_0	1ks5	X6	-9.529
1ks5_WT_AF3_model_0	1ks5	cellose	-6.163
1xyn_apo_model	1xyn	X6	-9.582
1xyn_apo_model	1xyn	cellose	-5.658
fold_m02_1ks5backbone_1xyninsert_model_0	1ks5	X6	-9.477
fold_m02_1ks5backbone_1xyninsert_model_0	1ks5	cellose	-5.624
fold_m02_1xynbackbone_1ks5insert_model_0	1xyn	X6	-9.129
fold_m02_1xynbackbone_1ks5insert_model_0	1xyn	cellose	-5.337
fold_m03_1ks5backbone_1xyninsert_model_0	1ks5	X6	-10.642
fold_m03_1ks5backbone_1xyninsert_model_0	1ks5	cellose	-5.828
fold_m03_1xynbackbone_1ks5insert_model_0	1xyn	X6	-9.708
fold_m03_1xynbackbone_1ks5insert_model_0	1xyn	cellose	-5.173
fold_m05_1ks5backbone_1xyninsert_model_0	1ks5	X6	-10.092
fold_m05_1ks5backbone_1xyninsert_model_0	1ks5	cellose	-5.533
fold_m05_1xynbackbone_1ks5insert_model_0	1xyn	X6	-10.170
fold_m05_1xynbackbone_1ks5insert_model_0	1xyn	cellose	-5.456
fold_m08_1ks5backbone_1xyninsert_model_0	1ks5	X6	-11.198
fold_m08_1ks5backbone_1xyninsert_model_0	1ks5	cellose	-5.184
fold_m08_1xynbackbone_1ks5insert_model_0	1xyn	X6	-10.276
fold_m08_1xynbackbone_1ks5insert_model_0	1xyn	cellose	-4.921
fold_m12_1ks5backbone_1xyninsert_model_0	1ks5	X6	-10.787
fold_m12_1ks5backbone_1xyninsert_model_0	1ks5	cellose	-5.641
fold_m12_1xynbackbone_1ks5insert_model_0	1xyn	X6	-8.560
fold_m12_1xynbackbone_1ks5insert_model_0	1xyn	cellose	-4.875
